Team,G,W,L,T,PCT,R,RUNSPG,AB,H,BA,TB,SLGPCT,BB,HBP,SacF,SacH,OBP,IP,RALLOW,ER,ERA
A&M-Corpus Christi (Southland),51,8,43,0,0.157,108,2.12,"1,230",274,0.223,363,0.295,96,21,8,13,0.289,307.2,318,264,6.01
Abilene Christian (Southland),44,13,31,0,0.295,170,3.86,"1,141",300,0.263,443,0.388,121,33,11,32,0.348,284,234,184,4.54
Akron (MAC),46,13,31,2,0.304,192,4.17,"1,150",312,0.271,457,0.397,81,24,12,37,0.329,289.2,306,246,5.94
Alabama (SEC),70,60,10,0,0.857,432,6.17,"1,799",510,0.283,870,0.484,333,32,14,46,0.402,473.2,166,145,2.14
Alabama A&M (SWAC),42,23,19,0,0.548,184,4.38,"1,145",311,0.272,445,0.389,102,23,7,31,0.341,279.2,181,145,3.63
Alabama St. (SWAC),49,24,25,0,0.49,248,5.06,"1,333",404,0.303,560,0.42,112,36,12,14,0.37,318.2,243,166,3.65
Albany (NY) (America East),43,26,17,0,0.605,214,4.98,"1,187",319,0.269,443,0.373,118,16,8,14,0.341,304,162,135,3.11
Alcorn (SWAC),38,14,24,0,0.368,169,4.45,988,276,0.279,365,0.369,120,29,12,22,0.37,243,198,138,3.98
Appalachian St. (Sun Belt),56,31,25,0,0.554,223,3.98,"1,456",348,0.239,511,0.351,167,15,12,37,0.321,380.1,183,151,2.78
Arizona (Pac-12),62,48,14,0,0.774,402,6.48,"1,655",527,0.318,944,0.57,202,24,13,27,0.398,400.2,120,92,1.61
Arizona St. (Pac-12),55,35,20,0,0.636,411,7.47,"1,370",436,0.318,830,0.606,210,38,15,14,0.419,336.1,269,223,4.64
Ark.-Pine Bluff (SWAC),38,4,34,0,0.105,81,2.13,866,167,0.193,229,0.264,65,16,0,13,0.262,217,269,208,6.71
Arkansas (SEC),58,38,20,0,0.655,284,4.9,"1,487",428,0.288,662,0.445,162,56,22,21,0.374,375.1,183,107,2
Army West Point (Patriot),56,26,30,0,0.464,232,4.14,"1,483",395,0.266,524,0.353,143,30,14,35,0.34,370.2,209,165,3.12
Auburn (SEC),60,39,21,0,0.65,332,5.53,"1,549",443,0.286,738,0.476,178,34,15,15,0.369,388,192,148,2.67
Austin Peay (OVC),55,33,22,0,0.6,277,5.04,"1,503",437,0.291,714,0.475,146,26,7,15,0.362,360,168,134,2.61
Ball St. (MAC),54,34,20,0,0.63,273,5.06,"1,397",340,0.243,614,0.44,229,44,12,14,0.364,360,201,145,2.82
Baylor (Big 12),49,18,31,0,0.367,143,2.92,"1,237",301,0.243,406,0.328,136,18,10,28,0.325,326.2,237,185,3.96
Belmont (OVC),54,31,23,0,0.574,279,5.17,"1,412",410,0.29,599,0.424,179,26,18,14,0.376,342.2,188,153,3.13
Bethune-Cookman (MEAC),57,26,31,0,0.456,203,3.56,"1,386",333,0.24,405,0.292,151,44,9,35,0.332,367,234,176,3.36
Binghamton (America East),48,19,29,0,0.396,222,4.63,"1,244",341,0.274,504,0.405,133,25,9,11,0.354,302.1,282,215,4.98
Boise St. (Mountain West),52,36,16,0,0.692,332,6.38,"1,432",458,0.32,752,0.525,114,42,15,17,0.383,337,188,155,3.22
Boston College (ACC),53,18,35,0,0.34,179,3.38,"1,324",329,0.248,454,0.343,150,26,9,37,0.335,336.2,325,251,5.22
Boston U. (Patriot),57,37,20,0,0.649,224,3.93,"1,478",399,0.27,565,0.382,137,42,13,30,0.346,381.2,146,101,1.85
Bowling Green (MAC),51,22,29,0,0.431,225,4.41,"1,368",362,0.265,541,0.395,156,29,8,33,0.35,336,238,177,3.69
Bradley (MVC),50,29,21,0,0.58,293,5.86,"1,327",391,0.295,682,0.514,165,36,12,8,0.384,318.1,232,172,3.78
Brown (Ivy League),39,12,27,0,0.308,122,3.13,994,226,0.227,333,0.335,92,28,4,15,0.309,258.2,170,147,3.98
Bryant (NEC),45,13,32,0,0.289,132,2.93,"1,147",256,0.223,347,0.303,128,27,8,8,0.314,295,216,170,4.03
Bucknell (Patriot),52,28,24,0,0.538,226,4.35,"1,368",388,0.284,573,0.419,126,38,13,33,0.357,341,177,135,2.77
Buffalo (MAC),43,10,32,1,0.244,164,3.81,"1,107",267,0.241,436,0.394,160,30,5,11,0.351,270.1,261,192,4.97
Butler (Big East),48,16,32,0,0.333,158,3.29,"1,289",325,0.252,448,0.348,107,26,9,28,0.32,316,199,159,3.52
BYU (WCC),56,30,26,0,0.536,264,4.71,"1,470",409,0.278,648,0.441,143,33,14,33,0.352,360,210,156,3.03
Cal Poly (Big West),51,11,40,0,0.216,116,2.27,"1,288",277,0.215,379,0.294,99,21,5,41,0.281,332,282,204,4.3
Cal St. Fullerton (Big West),56,38,18,0,0.679,264,4.71,"1,435",408,0.284,638,0.445,154,35,14,46,0.364,372,160,139,2.62
California (Pac-12),55,28,27,0,0.509,259,4.71,"1,515",432,0.285,608,0.401,121,38,12,26,0.351,364.1,204,152,2.92
Campbell (Big South),54,26,28,0,0.481,267,4.94,"1,432",409,0.286,625,0.436,187,33,11,21,0.378,350.1,285,212,4.24
Canisius (MAAC),45,14,31,0,0.311,170,3.78,"1,176",309,0.263,428,0.364,93,16,5,22,0.324,289.1,253,193,4.67
Central Ark. (Southland),54,26,28,0,0.481,261,4.83,"1,432",418,0.292,596,0.416,168,30,23,22,0.373,347.2,241,182,3.66
Central Conn. St. (NEC),41,17,24,0,0.415,194,4.73,"1,145",313,0.273,472,0.412,122,17,10,20,0.349,279.1,207,179,4.49
Central Mich. (MAC),51,22,28,1,0.441,193,3.78,"1,286",326,0.253,482,0.375,124,27,7,34,0.33,330.2,256,224,4.74
Charleston So. (Big South),55,18,37,0,0.327,172,3.13,"1,386",345,0.249,465,0.335,110,39,11,49,0.32,361,267,218,4.23
Charlotte (C-USA),50,15,35,0,0.3,205,4.1,"1,313",375,0.286,568,0.433,142,13,5,19,0.36,308.2,339,281,6.37
Chattanooga (SoCon),54,37,17,0,0.685,258,4.78,"1,434",420,0.293,613,0.427,143,30,20,51,0.364,362.2,151,121,2.34
Cleveland St. (Horizon),49,15,34,0,0.306,162,3.31,"1,307",307,0.235,459,0.351,111,17,5,36,0.302,323.2,275,216,4.67
Coastal Carolina (Sun Belt),60,39,21,0,0.65,263,4.38,"1,482",365,0.246,705,0.476,189,39,8,19,0.345,392,204,179,3.2
Col. of Charleston (CAA),56,26,30,0,0.464,217,3.88,"1,465",399,0.272,552,0.377,160,35,7,25,0.356,371.2,259,222,4.18
Colgate (Patriot),52,25,27,0,0.481,193,3.71,"1,366",366,0.268,546,0.4,112,37,5,22,0.339,336.2,249,211,4.39
Colorado St. (Mountain West),51,39,12,0,0.765,333,6.53,"1,391",447,0.321,769,0.553,142,32,16,22,0.393,332.1,149,122,2.57
Columbia (Ivy League),45,24,21,0,0.533,214,4.76,"1,132",315,0.278,489,0.432,129,22,11,37,0.36,285.1,215,164,4.02
Coppin St. (MEAC),41,9,32,0,0.22,97,2.37,958,205,0.214,268,0.28,98,21,6,24,0.299,246,295,219,6.23
Cornell (Ivy League),46,10,36,0,0.217,152,3.3,"1,139",291,0.255,452,0.397,102,24,10,15,0.327,275.2,366,303,7.69
Creighton (Big East),44,20,24,0,0.455,211,4.8,"1,136",317,0.279,489,0.43,144,38,3,48,0.378,284.2,207,156,3.84
CSU Bakersfield (WAC),47,15,32,0,0.319,157,3.34,"1,229",304,0.247,404,0.329,92,17,13,23,0.306,311.2,258,207,4.65
CSUN (Big West),54,26,28,0,0.481,203,3.76,"1,382",355,0.257,547,0.396,127,32,9,30,0.332,358.1,218,171,3.34
Dartmouth (Ivy League),40,13,27,0,0.325,178,4.45,"1,064",303,0.285,450,0.423,77,26,4,21,0.347,251.2,241,197,5.48
Dayton (Atlantic 10),51,24,27,0,0.471,232,4.55,"1,341",376,0.28,567,0.423,88,20,13,39,0.331,325,279,222,4.78
Delaware (CAA),51,22,29,0,0.431,216,4.24,"1,336",349,0.261,519,0.388,136,36,9,21,0.343,334.1,247,210,4.4
Delaware St. (MEAC),42,10,32,0,0.238,142,3.38,"1,067",270,0.253,346,0.324,66,13,8,36,0.302,261.2,267,206,5.51
DePaul (Big East),51,35,16,0,0.686,250,4.9,"1,326",370,0.279,598,0.451,164,28,14,44,0.367,344.2,198,162,3.29
Detroit Mercy (Horizon),59,31,28,0,0.525,197,3.34,"1,522",378,0.248,549,0.361,114,14,10,19,0.305,393.1,218,166,2.95
Drake (MVC),59,43,16,0,0.729,306,5.19,"1,463",409,0.28,566,0.387,251,18,11,36,0.389,378.1,128,106,1.96
Drexel (CAA),60,32,27,1,0.542,380,6.33,"1,699",543,0.32,854,0.503,206,25,12,17,0.399,388.2,287,241,4.34
Duke (ACC),56,25,31,0,0.446,207,3.7,"1,465",376,0.257,554,0.378,112,39,13,51,0.324,381,223,189,3.47
East Carolina (AAC),54,23,31,0,0.426,215,3.98,"1,404",350,0.249,499,0.355,160,41,9,22,0.341,357.1,255,209,4.09
Eastern Ill. (OVC),55,16,39,0,0.291,212,3.85,"1,480",385,0.26,568,0.384,140,12,15,9,0.326,355,294,234,4.61
Eastern Ky. (OVC),57,35,22,0,0.614,303,5.32,"1,527",447,0.293,692,0.453,168,37,14,23,0.373,373.1,218,183,3.43
