#, AB, Date, Time Stamp, Pitch, Strike Zone, P. Type, Velo, LA, Dist, Res,Hit, Type, Horiz. Angle, Pts, Hand Speed, BV, Trigger to Impact, AA, Impact Momentum, Strike Zone Bottom, Strike Zone Top, Strike Zone Width, Vertical Distance, Horizontal Distance, POIX, POIY, POIZ, Bat Material, User, Pitch Angle, Batting, Level, Opposing Player, Tag
1,1, 10/22/2019 08:49:32.193, 0:0:0.000,24.8,11, Other,62.7,15,131, 2B-8,1, LD,-13,32,0,0,0,0,0,21.9,41.2,17,14.4,7.7,-11.3,43.86,-1.06, Undefined, Bailey Thompson,-3.8, Right, Softball - College, , 
2,2, 10/22/2019 08:49:35.321, 0:0:3.128,25.4,11, Other,65.8,0,42, 1B-7,1, GB,-26,16,0,0,0,0,0,21.9,41.2,17,6.5,10.2,-14.02,35.36,-0.51, Undefined, Bailey Thompson,-5, Right, Softball - College, , 
3,3, 10/22/2019 08:49:38.621, 0:0:6.428,25.4,3, Other,54.7,-7,19, 1B-6,1, GB,-30,0,0,0,0,0,0,21.9,41.2,17,7.6,9.6,-13.17,36.84,1.29, Undefined, Bailey Thompson,-4.8, Right, Softball - College, , 
4,4, 10/22/2019 08:49:42.972, 0:0:10.779,25,2, Other,58.2,20,138, 1B-8,1, LD,-7,22,0,0,0,0,0,21.9,41.2,17,9.7,-0.6,-2.2,38.94,-0.53, Undefined, Bailey Thompson,-4.4, Right, Softball - College, , 
5,5, 10/22/2019 08:49:46.516, 0:0:14.323,26.1,1, Other,0, , , ,, , ,0,0,0,0,0,0,21.9,41.2,17,10.7,-7.4,0,0,0, Undefined, Bailey Thompson,-3.9, Right, Softball - College, , 
6,5, 10/22/2019 08:49:50.910, 0:0:18.717,25.3,1, Other,70.6,11,128, 2B-8,1, LD,10,48,0,0,0,0,0,21.9,41.2,17,6.2,-3.9,0,0,0, Undefined, Bailey Thompson,-5.1, Right, Softball - College, , 
7,6, 10/22/2019 08:49:58.271, 0:0:26.078,26.2,6, Other,58.9,26,159, 2B-8,1, FB,15,26,0,0,0,0,0,21.9,41.2,17,2.4,3.6,-8.1,29.48,-9.3, Undefined, Bailey Thompson,-5.3, Right, Softball - College, , 
8,7, 10/22/2019 08:50:01.781, 0:0:29.588,26,10, Other,59.2,10,94, 1B-8,1, LD,11,17,0,0,0,0,0,21.9,41.2,17,18.5,-1.4,-1.67,48,-10.42, Undefined, Bailey Thompson,-2.1, Right, Softball - College, , 
9,8, 10/22/2019 08:52:03.309, 0:2:31.116,25.6,13, Other,0, , , ,, , ,0,0,0,0,0,0,21.9,41.2,17,-11.4,6.1,0,0,0, Undefined, Bailey Thompson,-7.5, Right, Softball - College, , 
10,8, 10/22/2019 08:52:06.438, 0:2:34.245,25.6,6, Other,62.1,20,150, 1B-8,1, LD,10,30,0,0,0,0,0,21.9,41.2,17,1.7,8.2,-13.44,28.84,-8.03, Undefined, Bailey Thompson,-5.6, Right, Softball - College, , 
11,9, 10/22/2019 08:52:10.954, 0:2:38.761,25,6, Other,66.6,23,186, F8,0, LD,0,38,0,0,0,0,0,21.9,41.2,17,1.7,4,-7.25,30.16,0.05, Undefined, Bailey Thompson,-6.1, Right, Softball - College, , 
