"Team","RPG","STEINRPG","RALLOWPG","STEINRALLOWPG","PYTH_STEIN"
"A&M-Corpus Christi (Southland)",2.11,2.339253499,8.111111111,7.78385929,0.0828346884610817
"Abilene Christian (Southland)",3.78,3.843389554,5.111111111,5.081818473,0.363864746111265
"Akron (MAC)",5.8,5.662763703,6,5.88242316,0.480980821392233
"Alabama (SEC)",9,8.544940574,2,2.279702071,0.933552757887825
"Alabama A&M (SWAC)",4.6,4.581947377,4.333333333,4.381289373,0.522375565503706
"Alabama St. (SWAC)",6.75,6.518409962,4.625,4.643987786,0.663317650406152
"Albany (NY) (America East)",3.75,3.816369146,4.083333333,4.156119304,0.457461930482334
"Alcorn (SWAC)",3.22,3.339008601,5.444444444,5.38204523,0.277922728244676
"Appalachian St. (Sun Belt)",4.82,4.780097037,2.545454545,2.770982219,0.748479251036456
"Arizona (Pac-12)",5.1,5.032287513,2.2,2.459838126,0.807143988188186
"Arizona St. (Pac-12)",9.2,8.725076629,4.1,4.171130643,0.813971918412334
"Ark.-Pine Bluff (SWAC)",0.8,1.159362343,7.3,7.053307513,0.0263072043971515
"Arkansas (SEC)",6.67,6.44635554,1.666666667,1.979475314,0.913833446950114
"Army West Point (Patriot)",4.7,4.672015404,6.5,6.332763296,0.352448851224603
"Auburn (SEC)",7.4,7.103852139,2.1,2.369770098,0.899861667409736
"Austin Peay (OVC)",6,5.842899758,4,4.081062615,0.672109071102159
"Ball St. (MAC)",3,3.140858942,3.090909091,3.262262368,0.481046774950383
"Baylor (Big 12)",4.27,4.284722887,3.909090909,3.999182591,0.534428379213104
"Belmont (OVC)",4.7,4.672015404,3.2,3.360518398,0.659033602245041
"Bethune-Cookman (MEAC)",2.3,2.510382751,4.8,4.801606833,0.214665156999504
"Binghamton (America East)",4.78,4.744069826,4.777777778,4.781591716,0.496061028658763
"Boise St. (MWC)",4.75,4.717049418,3.625,3.743307513,0.613589958782481
"Boston College (ACC)",2.9,3.050790914,7.5,7.233443568,0.151019317076666
"Boston U. (Patriot)",5.33,5.239443976,2.777777778,2.980231172,0.755548863511865
"Bowling Green (MAC)",4.38,4.383797717,5.5,5.432083024,0.394409445405491
"Bradley (MVC)",6,5.842899758,7.4,7.143375541,0.40085198084698
"Brown (Ivy League)",5,4.942219486,4.285714286,4.338399836,0.564788174430999
"Bryant (NEC)",0.89,1.240423567,5.555555556,5.482120817,0.0487033441928828
"Bucknell (Patriot)",3.11,3.239933771,3.555555556,3.680760273,0.436560529121997
"Buffalo (MAC)",2.5,2.690518805,6.7,6.51289935,0.145778600692995
"Butler (Big East)",3.5,3.591199078,4.2,4.26119867,0.415292484743845
"BYU (WCC)",6.13,5.959988193,4.625,4.643987786,0.6222219792641
"Cal Poly (Big West)",3.88,3.933457581,5.125,5.094327922,0.373503026496769
"Cal St. Fullerton (Big West)",4.4,4.401811322,4.4,4.441334724,0.495530706796516
"California (Pac-12)",3.9,3.951471186,4.1,4.171130643,0.472976770632011
"Campbell (Big South)",2.9,3.050790914,7.3,7.053307513,0.157600426745782
"Canisius (MAAC)",3.18,3.302981391,8.636363636,8.256943877,0.13794571192973
"Central Ark. (Southland)",6,5.842899758,4.4,4.441334724,0.633797843913767
"Central Conn. St. (NEC)",5.11,5.041294316,4.111111111,4.181138201,0.592463484173405
"Central Mich. (MAC)",4.4,4.401811322,6.2,6.062559214,0.345194141134172
"Charleston So. (Big South)",4.08,4.113593635,5.083333333,5.056799577,0.398223296747501
"Charlotte (C-USA)",4.63,4.608967785,6.25,6.107593228,0.362840255889099
"Chattanooga (SoCon)",7,6.74358003,2.888888889,3.080306758,0.827373155683599
"Cleveland St. (Horizon)",3.5,3.591199078,7.5,7.233443568,0.197743424833558
